"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.63164935550694,0.984,0.192,0,"0","AC022140.1"
0,2.62625462743184,0.958,0.203,0,"0","TDGF1"
0,2.08574292967909,0.991,0.27,0,"0","POU5F1"
0,2.71300424066755,0.92,0.203,0,"0","ESRG"
0,2.21045866121628,0.974,0.278,0,"0","GAL"
0,3.29928379698834,0.812,0.117,0,"0","AC009446.1"
0,3.17859699388895,0.863,0.173,0,"0","LDB2"
0,2.86990804182206,0.809,0.121,0,"0","XACT"
0,3.33342073956349,0.832,0.155,0,"0","ADCY2"
0,2.6994680184802,0.953,0.288,0,"0","EPCAM"
0,2.88290553939412,0.995,0.335,0,"0","SFRP2"
0,3.31839084361567,0.774,0.116,0,"0","AL354821.1"
0,2.79385029698562,0.848,0.196,0,"0","CDH1"
0,2.71157805343007,0.831,0.179,0,"0","CLDN7"
0,2.84918698814237,0.832,0.183,0,"0","POLR3G"
0,3.47248937307047,0.999,0.353,0,"0","GRID2"
0,2.495265187366,0.875,0.238,0,"0","DNMT3B"
0,2.72514946728485,0.918,0.287,0,"0","THY1"
0,2.6244587683135,0.941,0.311,0,"0","CD9"
0,2.43343767268977,0.782,0.159,0,"0","AK4"
0,2.75901448741898,0.771,0.162,0,"0","NODAL"
0,3.0221422456223,0.743,0.142,0,"0","RBM47"
0,2.76853929116909,0.819,0.218,0,"0","LSR"
0,1.94245144670044,0.893,0.294,0,"0","MIR924HG"
0,2.43858409132594,0.76,0.164,0,"0","PMAIP1"
0,2.85921427935447,0.776,0.184,0,"0","KCND2"
0,3.51029638913888,0.696,0.105,0,"0","AL365259.1"
0,2.66478441786151,0.754,0.165,0,"0","LEFTY1"
0,2.38743584461018,0.741,0.152,0,"0","LINC00678"
0,2.49344236961378,0.998,0.416,0,"0","L1TD1"
0,3.43295027504258,0.695,0.115,0,"0","AC005062.1"
0,2.36307307479805,0.98,0.408,0,"0","PTPRZ1"
0,2.35131071454426,0.711,0.14,0,"0","AC009055.2"
0,2.61766372414934,0.729,0.16,0,"0","USP44"
0,1.97863669076873,0.79,0.224,0,"0","FOXD3-AS1"
0,2.31092198379049,0.758,0.192,0,"0","DMKN"
0,3.54692795300475,0.674,0.111,0,"0","AL117378.1"
0,2.33943031718159,0.872,0.31,0,"0","ADGRV1"
0,2.18410403827906,0.796,0.235,0,"0","SOX2"
0,2.17058115643843,0.975,0.418,0,"0","MIR302CHG"
0,2.13364098879295,0.757,0.202,0,"0","RMST"
0,2.30657931565401,0.9,0.346,0,"0","IFITM3"
0,3.08394309665914,0.994,0.441,0,"0","TERF1"
0,2.18686036189041,0.888,0.339,0,"0","SEPHS1"
0,2.36172475048025,0.675,0.131,0,"0","IFITM1"
0,3.12896836151844,0.7,0.157,0,"0","SNTG2"
0,2.2531331180336,0.92,0.382,0,"0","GJA1"
0,2.39982307104292,0.787,0.25,0,"0","ITGB5"
0,2.68752910902535,0.681,0.144,0,"0","NTS"
0,2.05056141507943,0.816,0.28,0,"0","AC068587.4"
0,2.19395926789637,0.972,0.443,0,"0","VCAN"
0,2.39675869673247,0.659,0.131,0,"0","NANOG"
0,1.6158675309789,0.858,0.331,0,"0","UNC5D"
0,2.91665444433632,0.66,0.138,0,"0","GLDC"
0,2.53896050961809,0.753,0.234,0,"0","F11R"
0,2.65074938837021,0.657,0.138,0,"0","FOXH1"
